Date,Year,Month,Day,Location,City,State,Plastic drink bottles,Food wrappers,Plastic grocery bags,"Plastic bags (Zip-loc, etc)",Straws/stirrers,Utensils,Plastic cups/plates,Plastic take away containers,Plastic bottle caps,Plastic lids,Cigarettes,Vaping cartidges/pods,Cigar tips,Personal hygiene,Dental/floss picks,Tampons/applicators,Wipes,Toys,Balloons,Lighters,Shotgun shells/wadding,Strapping bands,Zip-ties,Shipping/packaging,Plastic sheeting/tape,Oil/lube bottles,Bleach/cleaner bottles,Masks (reusable/fabric),Masks (disposable),Gloves (disposable),Hand sanitizer,Cans,Metals caps/lids,Batteries,Metal pieces,Glass bottles,Glass pieces,Tires,Rubber pieces,Shoes,Fabric pieces,Clothing/towels/gloves,Paper straws,Paper bags,Paper cups/plates,Paper/tissues/napkins,Paper Shipping/packaging,Bait containers/crates,Lobster claw bands,Fishing nets,Lures and lightsticks,Derelict traps/trap pieces,Buoys/floats,Rope,Micro plastic 0-5mm,SMALL plastic 5-30mm,LARGE plastic >30mm,Line/net fiber: MICRO 0-5mm,Line/net fiber: SMALL 5-30mm,Line/net fiber: LARGE >30mm,Resin Pellets,BBs/beads,Foam cups/plates,Foam take away containers,Micro foam 0-5mm,SMALL foam 5-30mm,LARGE foam >30mm,Dock Foam (any size),Foam Toys,Foam Toys (water/pool),Foam Shipping/packaging,Foam Buoys,Foam Coolers,Pink Construction Foam,Blue Construction Foam,Construction Foam w Foil,Foam Meat Trays,Home & garden items,Car/boat parts,Other,Unidentified pieces,Type of cleanup,Type of location,Distance cleaned (miles),Duration (hrs),Start time,End time,Weather,Weather (wind knots),Recent weather,Tide,Flow,Recent events,Total weight (lb),# of participants,Unusual items,Notes/comments,Plastic Total,PPE Total,Metal Total,Glass/Rubber Total,Paper/Cloth Total,Fishing Debris Total,"Microplastics, Fibers, Fragments Total",Foam Total,Other Total,Total Total,Outlier
2012-04-14,2012,April,14,NSHOF Surface,,,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dip net,Unknown,0.0,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.1,0.0,,,11,0,0,0,2,0,3,5,0,11,
2012-04-15,2012,April,15,Potemac cleanup,,,4,3,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,2,5,0,3,1,0,2,3,9,13,7,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,Shoreline (hands),Unknown,0.0,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,20.0,2.0,,,14,0,9,0,6,14,29,13,9,23,O
2012-04-15,2012,April,15,Bar Mitzvah Project,,,97,40,31,0,11,16,0,0,18,0,24,0,12,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,23,0,0,9,19,0,0,0,0,0,5,0,17,0,26,2,5,0,3,1,0,2,3,9,113,7,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,Shoreline (hands),Unknown,0.0,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,20.0,27.0,,,255,0,32,19,50,14,129,13,9,264,O
2012-04-17,2012,April,17,Susquehanna Riverside,,,0,5,4,0,0,1,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,1,3,0,1,1,0,0,115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,Shoreline (hands),Unknown,0.00852,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0,2.0,,,35,0,14,0,6,6,117,1,18,53,O
2012-04-17,2012,April,17,Schulkyll River @ boathouse row,,PA,42,12,1,0,0,14,0,0,10,0,0,0,0,2,0,0,0,7,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,6,7,5,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Dip net,Unknown,0.00227,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,15.0,2.0,,,92,0,1,1,3,2,18,61,2,94,O
2012-04-19,2012,April,19,Independence Seaport Museum,,,0,11,2,0,2,2,0,0,4,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dip net,Unknown,0.01894,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0,92.0,,,26,0,1,0,1,0,8,2,0,26,O
2012-06-04,2012,June,4,Seapoint Beach,Kittery,ME,8,80,30,0,8,5,0,0,43,1,3,0,8,1,0,1,0,7,47,1,13,0,21,2,3,0,1,0,0,0,0,7,0,0,1,12,0,0,36,0,1,3,0,3,0,0,3,6,0,1,0,23,0,72,1,149,43,13,5,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,4,0,51,0,Shoreline (hands),Unknown,0.08523,2.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,65.8,6.0,,"Other items: mooring line, dogbed, non-skid pads, hook set discs, absorbant, oil absorbant pads, sail tie, aerosol can",283,0,8,48,10,102,211,40,55,338,O
2012-06-05,2012,June,5,KPYY mooring,,,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dip net,Unknown,0.0,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,2.0,7.0,,"large styrofoam block with lots of marine life: tunicates, swimming anemones",6,0,0,0,0,0,4,10,0,6,O
2012-06-06,2012,June,6,Odiorne Point State Park,Rye,NH,1,5,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Shoreline (hands),Unknown,0.08523,1.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,5.0,5.0,,Other item: home depot bucket in perfect condition,14,0,1,0,1,2,1,3,1,15,
2012-06-06,2012,June,6,Sailing out of Prtsmth harbor- surface,Portsmouth,NH,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Dip net,Unknown,0.05682,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,3.0,7.0,,,7,0,0,0,1,1,3,9,2,9,O
